"Date","Time","Quantity","Units","Service","Meter","Account"
6/4/2020,11:59 PM,5.42099999999846,"kWh","Electricity","578386","8771398385"
6/5/2020,11:59 PM,12.0570000000007,"kWh","Electricity","578386","8771398385"
6/6/2020,11:59 PM,5.67299999999887,"kWh","Electricity","578386","8771398385"
6/7/2020,11:59 PM,4.34900000000198,"kWh","Electricity","578386","8771398385"
6/8/2020,11:59 PM,4.68499999999767,"kWh","Electricity","578386","8771398385"
6/9/2020,11:59 PM,5.00200000000041,"kWh","Electricity","578386","8771398385"
6/10/2020,11:59 PM,4.78900000000067,"kWh","Electricity","578386","8771398385"
6/11/2020,11:59 PM,4.64400000000023,"kWh","Electricity","578386","8771398385"
6/12/2020,11:59 PM,4.46600000000035,"kWh","Electricity","578386","8771398385"
6/13/2020,10:15 PM,4.30699999999706,"kWh","Electricity","578386","8771398385"
6/14/2020,11:59 PM,4.9210000000021,"kWh","Electricity","578386","8771398385"
6/15/2020,11:59 PM,4.53399999999965,"kWh","Electricity","578386","8771398385"
6/16/2020,11:59 PM,3.4429999999993,"kWh","Electricity","578386","8771398385"
6/17/2020,11:59 PM,4.54500000000189,"kWh","Electricity","578386","8771398385"
6/18/2020,11:59 PM,5.02699999999822,"kWh","Electricity","578386","8771398385"
6/19/2020,11:59 PM,4.83600000000297,"kWh","Electricity","578386","8771398385"
6/20/2020,11:59 PM,4.60199999999895,"kWh","Electricity","578386","8771398385"
6/21/2020,11:59 PM,3.67599999999948,"kWh","Electricity","578386","8771398385"
6/22/2020,11:59 PM,4.52799999999843,"kWh","Electricity","578386","8771398385"
6/23/2020,11:59 PM,4.71800000000076,"kWh","Electricity","578386","8771398385"
6/24/2020,11:59 PM,4.53299999999945,"kWh","Electricity","578386","8771398385"
6/25/2020,11:59 PM,4.37800000000061,"kWh","Electricity","578386","8771398385"
6/26/2020,11:59 PM,4.75400000000081,"kWh","Electricity","578386","8771398385"
6/27/2020,11:59 PM,3.62999999999738,"kWh","Electricity","578386","8771398385"
6/28/2020,11:59 PM,4.61300000000119,"kWh","Electricity","578386","8771398385"
6/29/2020,11:59 PM,4.42600000000311,"kWh","Electricity","578386","8771398385"
6/30/2020,11:59 PM,4.72899999999936,"kWh","Electricity","578386","8771398385"
7/1/2020,11:59 PM,3.99699999999939,"kWh","Electricity","578386","8771398385"
7/2/2020,11:59 PM,4.55299999999988,"kWh","Electricity","578386","8771398385"
7/3/2020,11:59 PM,4.68100000000049,"kWh","Electricity","578386","8771398385"
7/4/2020,11:59 PM,4.82200000000012,"kWh","Electricity","578386","8771398385"
7/5/2020,11:59 PM,3.69700000000012,"kWh","Electricity","578386","8771398385"
7/6/2020,11:59 PM,4.38699999999881,"kWh","Electricity","578386","8771398385"
7/7/2020,11:59 PM,4.77000000000044,"kWh","Electricity","578386","8771398385"
7/8/2020,11:59 PM,4.55199999999968,"kWh","Electricity","578386","8771398385"
7/9/2020,11:59 PM,4.51399999999921,"kWh","Electricity","578386","8771398385"
7/10/2020,11:59 PM,3.36800000000221,"kWh","Electricity","578386","8771398385"
7/11/2020,11:59 PM,4.55599999999686,"kWh","Electricity","578386","8771398385"
7/12/2020,11:59 PM,4.56900000000314,"kWh","Electricity","578386","8771398385"
7/13/2020,11:59 PM,3.14899999999761,"kWh","Electricity","578386","8771398385"
7/14/2020,11:59 PM,4.47999999999956,"kWh","Electricity","578386","8771398385"
7/15/2020,11:59 PM,4.56300000000192,"kWh","Electricity","578386","8771398385"
7/16/2020,11:59 PM,4.30299999999988,"kWh","Electricity","578386","8771398385"
7/17/2020,11:59 PM,4.24799999999959,"kWh","Electricity","578386","8771398385"
7/18/2020,11:59 PM,3,"kWh","Electricity","578386","8771398385"
7/19/2020,11:59 PM,4.26499999999942,"kWh","Electricity","578386","8771398385"
7/20/2020,11:59 PM,17.8590000000004,"kWh","Electricity","578386","8771398385"
7/21/2020,11:59 PM,11.3179999999993,"kWh","Electricity","578386","8771398385"
7/22/2020,11:59 PM,11.2180000000008,"kWh","Electricity","578386","8771398385"
7/23/2020,11:59 PM,12.0420000000013,"kWh","Electricity","578386","8771398385"
